"Peak","Name","Season","Date","Time","Citizenship","Sex","Age","Oxy","Dth","Host","Year"
"EVER","Andrzej (Leszek) Czok","1980 Spr","May 19","16:00","Poland","M",31,TRUE,FALSE,"Nepal",1980
"EVER","Jerzy Kukuczka","1980 Spr","May 19","16:00","Poland","M",32,TRUE,FALSE,"Nepal",1980
"EVER","Martin Zabaleta Larburu","1980 Spr","May 14","15:30","Spain","M",30,TRUE,FALSE,"Nepal",1980
"EVER","Pasang Temba Sherpa (Ghat, Khumbu)","1980 Spr","May 14","15:30","Nepal","M",29,TRUE,FALSE,"Nepal",1980
"EVER","Reinhold Messner","1980 Sum","Aug 20","13:00","Italy","M",35,FALSE,FALSE,"China",1980
"EVER","Takashi Ozaki","1980 Spr","May 10","17:02","Japan","M",27,TRUE,FALSE,"China",1980
"EVER","Tsuneo Shigehiro","1980 Spr","May 10","16:50","Japan","M",32,TRUE,FALSE,"China",1980
"EVER","Yasuo Kato","1980 Spr","May 03","20:55","Japan","M",31,TRUE,FALSE,"China",1980
"EVER","Christopher J. (Chris) Pizzo","1981 Aut","Oct 24","12:30","United States of America","M",32,TRUE,FALSE,"Nepal",1981
"EVER","Christopher M. (Kris) Kopczynski","1981 Aut","Oct 21","11:29","United States of America","M",33,TRUE,FALSE,"Nepal",1981
"EVER","Peter Harvey Hackett","1981 Aut","Oct 24","15:30","United States of America","M",33,TRUE,FALSE,"Nepal",1981
"EVER","Sungdare Sherpa (Pangboche, Khumbu)","1981 Aut","Oct 21","11:29","Nepal","M",26,TRUE,FALSE,"Nepal",1981
"EVER","Young/Yong Tenzing Sherpa (Namche Bazar, Khumbu)","1981 Aut","Oct 24","12:30","Nepal","M",28,TRUE,FALSE,"Nepal",1981
"EVER","Eduard Vikentevich Myslovsky","1982 Spr","May 04","14:35","USSR","M",44,TRUE,FALSE,"Nepal",1982
"EVER","Kazbek Shakimovich Valiev","1982 Spr","May 08","13:40","USSR","M",29,TRUE,FALSE,"Nepal",1982
"EVER","Laurie Skreslet","1982 Aut","Oct 05","9:30","Canada","M",32,TRUE,FALSE,"Nepal",1982
"EVER","Lhakpa Dorje Sherpa (Khunde, Khumbu)","1982 Aut","Oct 05","9:30","Nepal","M",27,TRUE,FALSE,"Nepal",1982
"EVER","Lhakpa Tshering Sherpa (Khunde, Khumbu)","1982 Aut","Oct 07","11:30","Nepal","M",26,TRUE,FALSE,"Nepal",1982
"EVER","Mikhail Mikhailovich Turkevich","1982 Spr","May 04","23:30","USSR","M",29,TRUE,FALSE,"Nepal",1982
"EVER","Patrick (Pat) Morrow","1982 Aut","Oct 07","11:30","Canada","M",29,TRUE,FALSE,"Nepal",1982
"EVER","Pema Dorje Sherpa (Khumjung, Khumbu)","1982 Aut","Oct 07","11:30","Nepal","M",24,TRUE,FALSE,"Nepal",1982
"EVER","Sergei Borisovich Efimov","1982 Spr","May 05","13:20","USSR","M",38,TRUE,FALSE,"Nepal",1982
"EVER","Sergei Igorevich Bershov","1982 Spr","May 04","23:30","USSR","M",35,TRUE,FALSE,"Nepal",1982
"EVER","Sungdare Sherpa (Pangboche, Khumbu)","1982 Aut","Oct 05","9:30","Nepal","M",27,TRUE,FALSE,"Nepal",1982
"EVER","Valentin Andreevich Ivanov","1982 Spr","May 05","13:20","USSR","M",40,TRUE,FALSE,"Nepal",1982
"EVER","Valeri Nikolaevich Khrishchati","1982 Spr","May 08","13:40","USSR","M",30,TRUE,FALSE,"Nepal",1982
"EVER","Valeri Vasipevich Khomutov","1982 Spr","May 09","11:00","USSR","M",40,TRUE,FALSE,"Nepal",1982
"EVER","Vladimir Nikolaevich Puchkov","1982 Spr","May 09","11:00","USSR","M",33,TRUE,FALSE,"Nepal",1982
"EVER","Vladimir Sergeevich Balyberdin","1982 Spr","May 04","14:35","USSR","M",32,FALSE,FALSE,"Nepal",1982
"EVER","Yasuo Kato","1982 Win","Dec 27","15:55","Japan","M",33,TRUE,TRUE,"Nepal",1982
"EVER","Yuri Fedorovich Golodov","1982 Spr","May 09","11:00","USSR","M",38,TRUE,FALSE,"Nepal",1982
"EVER","Ang Rita Sherpa (Yilajung, Khumbu)","1983 Spr","May 07","16:00","Nepal","M",34,TRUE,FALSE,"Nepal",1983
"EVER","Carlos Paltenghe Rockhold Buhler","1983 Aut","Oct 08","14:45","United States of America","M",28,TRUE,FALSE,"China",1983
"EVER","Daniel Allen (Dan) Reid","1983 Aut","Oct 09","14:30","United States of America","M",41,TRUE,FALSE,"China",1983
"EVER","David Finlay Breashears","1983 Spr","May 07","16:00","United States of America","M",27,TRUE,FALSE,"Nepal",1983
"EVER","Gary Robert Neptune","1983 Spr","May 14","13:30","United States of America","M",37,TRUE,FALSE,"Nepal",1983
"EVER","George Henry Lowe","1983 Aut","Oct 09","10:30","United States of America","M",39,TRUE,FALSE,"China",1983
"EVER","Gerard A. (Gerry) Roach","1983 Spr","May 07","16:00","United States of America","M",39,TRUE,FALSE,"Nepal",1983
"EVER","Haruichi Kawamura","1983 Aut","Oct 08","16:30","Japan","M",35,FALSE,FALSE,"Nepal",1983
"EVER","Haruyuki Endo","1983 Aut","Oct 08","16:30","Japan","M",26,FALSE,FALSE,"Nepal",1983
"EVER","Hironobu Kamuro","1983 Aut","Oct 08","16:50","Japan","M",31,FALSE,TRUE,"Nepal",1983
"EVER","Hiroshi Yoshino","1983 Aut","Oct 08","16:50","Japan","M",33,FALSE,TRUE,"Nepal",1983
"EVER","James H. (Jim) States","1983 Spr","May 14","13:30","United States of America","M",37,TRUE,FALSE,"Nepal",1983
